,,,,externalizing,externalizing,externalizing,externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing
,,,,alpha,alpha,delta,delta,alpha,alpha,beta,beta,gamma,gamma,delta,delta
,,,,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched
generation,learning_step,game_round,metric,,,,,,,,,,,,
0,0,0,shares,0.0,0.005,0.0,0.005,0.0,0.2475,0.0,0.2475,0.0,0.2475,0.0,0.2475
0,0,0,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,1,shares,0.0012625,0.0037375000000000004,0.0012625,0.0037375000000000004,0.06249375,0.18500624999999998,0.06125625,0.18624374999999999,0.06125625,0.18624374999999999,0.06249375,0.18500624999999998
0,0,1,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,2,shares,0.0022031043743124773,0.0027968956256875233,0.0022031043743124773,0.0027968956256875233,0.10905366652846762,0.13844633347153237,0.10750677090278009,0.1399932290972199,0.10750677090278009,0.1399932290972199,0.10905366652846762,0.13844633347153237
0,0,2,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,3,shares,0.002905436092177578,0.002094563907822422,0.002905436092177578,0.002094563907822422,0.1438190865627901,0.10368091343720989,0.14234952265496767,0.1051504773450323,0.14234952265496767,0.1051504773450323,0.1438190865627901,0.10368091343720989
0,0,3,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,4,shares,0.0034306286828787664,0.0015693713171212337,0.0034306286828787664,0.0015693713171212337,0.16981611980249892,0.07768388019750107,0.16855924848537768,0.0789407515146223,0.16855924848537768,0.0789407515146223,0.16981611980249892,0.07768388019750107
0,0,4,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,1,0,shares,0.0,0.004640222553249177,0.0,0.005359777446750823,0.0,0.22969101638583414,0.0,0.3939562389390833,0.0,0.10104376106091659,0.0,0.2653089836141657
0,1,0,payoffs,2.0,0.67075,1.0,1.67075,2.0,0.67075,3.0,1.67075,0.0,0.67075,1.0,1.67075
0,1,1,shares,0.0010873490998559562,0.0035528734533932203,0.0014507243210742883,0.003909053125676535,0.05382378044286981,0.17586723594296433,0.03980682007581811,0.35414941886326523,0.03980682007581811,0.06123694098509848,0.07181085389317725,0.19349812972098845
0,1,1,payoffs,2.0,0.6075559282426879,1.0,1.607555928242688,2.0,0.6075559282426879,3.0,1.607555928242688,0.0,0.6075559282426879,1.0,1.607555928242688
0,1,2,shares,0.0018920019128898977,0.0027482206403592786,0.002424798881769612,0.0029349785649812115,0.0936540946880499,0.13603692169778425,0.06718204518786272,0.32677419375122063,0.06718204518786272,0.033861715873053866,0.12002754464759577,0.14528143896656995
0,1,2,payoffs,2.0,0.5331589549508148,1.0,1.5331589549508147,2.0,0.5331589549508148,3.0,1.5331589549508147,0.0,0.5331589549508148,1.0,1.5331589549508147
0,1,3,shares,0.002480930458125093,0.0021592920951240832,0.0030964894940705093,0.002263287952680314,0.12280605767719206,0.10688495870864209,0.08426742925635372,0.3096888096827296,0.08426742925635372,0.016776331804562866,0.1532762299564902,0.11203275365767551
0,1,3,payoffs,2.0,0.45769130259592855,1.0,1.4576913025959286,2.0,0.45769130259592855,3.0,1.4576913025959286,0.0,0.45769130259592855,1.0,1.4576913025959286
0,1,4,shares,0.002909188118491397,0.0017310344347577795,0.003566992035633514,0.0017927854111173091,0.1440048118653241,0.08568620452051005,0.09371703070996393,0.3002392082291194,0.09371703070996393,0.007326730350952666,0.17656610576385895,0.08874287785030677
0,1,4,payoffs,2.0,0.3902792697014199,1.0,1.39027926970142,2.0,0.3902792697014199,3.0,1.39027926970142,0.0,0.3902792697014199,1.0,1.39027926970142
0,2,0,shares,0.0,0.004107127046868921,0.0,0.005892872953131077,0.0,0.18621543759361933,0.0,0.5166158678163718,0.0,0.019988277931733887,0.0,0.2671804166582747
0,2,0,payoffs,2.0,0.4206216851444444,1.0,1.4206216851444444,2.0,0.4206216851444444,3.0,1.4206216851444444,0.0,0.4206216851444444,1.0,1.4206216851444444
0,2,1,shares,0.0007816789528644081,0.0033254480940045133,0.0016091862025735832,0.004283686750557494,0.03544099965846843,0.15077443793515088,0.01032626154985754,0.5062896062665143,0.01032626154985754,0.009662016381876347,0.07295983529662113,0.19422058136165354
0,2,1,payoffs,2.0,0.37709012313822193,1.0,1.3770901231382218,2.0,0.37709012313822193,3.0,1.3770901231382218,0.0,0.37709012313822193,1.0,1.3770901231382218
0,2,2,shares,0.0013716827107992443,0.0027354443360696774,0.002588202318710961,0.0033046706344201163,0.062191525442537705,0.1240239121510816,0.015958344831602717,0.5006575229847692,0.015958344831602717,0.00402993310013117,0.1173480201268689,0.14983239653140576
0,2,2,payoffs,2.0,0.3333978506695243,1.0,1.3333978506695243,2.0,0.3333978506695243,3.0,1.3333978506695243,0.0,0.3333978506695243,1.0,1.3333978506695243
0,2,3,shares,0.0018136280179886538,0.0022934990288802676,0.003233216296149802,0.002659656656981275,0.08222914245111351,0.1039862951425058,0.01852991987387872,0.49808594794249317,0.01852991987387872,0.0014583580578551663,0.14659268645739842,0.12058773020087622
0,2,3,payoffs,2.0,0.2955489390160949,1.0,1.295548939016095,2.0,0.2955489390160949,3.0,1.295548939016095,0.0,0.2955489390160949,1.0,1.295548939016095
0,2,4,shares,0.002147960945634438,0.0019591661012344835,0.00368282341800772,0.002210049535123357,0.0973876587845632,0.08882777880905612,0.01952623871038382,0.4970896291059881,0.01952623871038382,0.0004620392213500696,0.16697768696664905,0.10020272969162561
0,2,4,payoffs,2.0,0.26420209970505826,1.0,1.264202099705058,2.0,0.26420209970505826,3.0,1.264202099705058,0.0,0.26420209970505826,1.0,1.264202099705058
0,3,0,shares,0.0,0.0032463388892000865,0.0,0.006753661110799912,0.0,0.12960192990738084,0.0,0.5884730611950119,0.0,0.0023020447603755803,0.0,0.2696229641372313
0,3,0,payoffs,2.0,0.2703006271139131,1.0,1.270300627113913,2.0,0.2703006271139131,3.0,1.270300627113913,0.0,0.2703006271139131,1.0,1.270300627113913
0,3,1,shares,0.00043127050135724726,0.002815068387842839,0.0018665540658717502,0.004887107044928162,0.017217392020891377,0.11238453788648947,0.0013546913271461557,0.5871183698678657,0.0013546913271461557,0.0009473534332294245,0.07451748491761896,0.19510547921961235
0,3,1,payoffs,2.0,0.2571734112057087,1.0,1.2571734112057087,2.0,0.2571734112057087,3.0,1.2571734112057087,0.0,0.2571734112057087,1.0,1.2571734112057087
0,3,2,shares,0.0007902983761511732,0.002456040513048913,0.0029486206164404637,0.0038050404943594483,0.03155067854825812,0.09805125135912274,0.0019704718186895373,0.5865025893763223,0.0019704718186895373,0.0003315729416860431,0.11771627531762033,0.151906688819611
0,3,2,payoffs,2.0,0.23922302124456954,1.0,1.2392230212445696,2.0,0.23922302124456954,3.0,1.2392230212445696,0.0,0.23922302124456954,1.0,1.2392230212445696
0,3,3,shares,0.0010831031309696693,0.0021632357582304167,0.0036514107215957665,0.0031022503892041454,0.04324017327007539,0.08636175663730547,0.002201143373783702,0.5862719178212281,0.002201143373783702,0.00010090138659187836,0.14577340584424311,0.12384955829298823
0,3,3,payoffs,2.0,0.22105365280479153,1.0,1.2210536528047915,2.0,0.22105365280479153,3.0,1.2210536528047915,0.0,0.22105365280479153,1.0,1.2210536528047915
0,3,4,shares,0.0013219265015898404,0.0019244123876102457,0.004142570520055547,0.002611090590744365,0.05277459675319689,0.07682733315418397,0.0022749173682229283,0.5861981438267889,0.0022749173682229283,2.712739215265216e-05,0.16538172769415102,0.10424123644308032
0,3,4,payoffs,2.0,0.20413547001632426,1.0,1.204135470016324,2.0,0.20413547001632426,3.0,1.204135470016324,0.0,0.20413547001632426,1.0,1.204135470016324
0,4,0,shares,0.0,0.0020922316347046933,0.0,0.007907768365295307,0.0,0.07244558120946026,0.0,0.6435689392377316,0.0,0.0001712107161446203,0.0,0.2738142688366631
0,4,0,payoffs,2.0,0.1494180471206192,1.0,1.1494180471206192,2.0,0.1494180471206192,3.0,1.1494180471206192,0.0,0.1494180471206192,1.0,1.1494180471206192
0,4,1,shares,0.0001559503700142598,0.0019362812646904334,0.0022277926135921954,0.0056799757517031115,0.005399935173577505,0.06704564603588276,0.00011018589897532572,0.6434587533387562,0.00011018589897532573,6.102481716929458e-05,0.07713951363162948,0.19667475520503364
0,4,1,payoffs,2.0,0.1509372386085639,1.0,1.150937238608564,2.0,0.1509372386085639,3.0,1.150937238608564,0.0,0.1509372386085639,1.0,1.150937238608564
0,4,2,shares,0.00030194968544565415,0.001790281949259039,0.003484131771660389,0.004423636593634918,0.010455305280388634,0.06199027592907162,0.00015310733584298215,0.6434158319018886,0.00015310733584298215,1.8103380301638162e-05,0.12064149447960602,0.1531727743570571
0,4,2,payoffs,2.0,0.1475436097193981,1.0,1.147543609719398,2.0,0.1475436097193981,3.0,1.147543609719398,0.0,0.1475436097193981,1.0,1.147543609719398
0,4,3,shares,0.0004339845394703009,0.0016582470952343923,0.004290260888664858,0.00361750747663045,0.01502714215593223,0.057418439053528024,0.00016657617792353583,0.643402363059808,0.00016657617792353583,4.634538221084478e-06,0.14855450919678412,0.12525975963987898
0,4,3,payoffs,2.0,0.14213157504121968,1.0,1.1421315750412198,2.0,0.14213157504121968,3.0,1.1421315750412198,0.0,0.14213157504121968,1.0,1.1421315750412198
0,4,4,shares,0.0005518199310658909,0.0015404117036388022,0.004851045559724458,0.00305672280557085,0.019107308658333752,0.053338272551126505,0.00017016291463523768,0.6433987763230963,0.00017016291463523768,1.0478015093826368e-06,0.1679722308077103,0.10584203802895281
0,4,4,payoffs,2.0,0.13597937937405433,1.0,1.1359793793740542,2.0,0.13597937937405433,3.0,1.1359793793740542,0.0,0.13597937937405433,1.0,1.1359793793740542
0,5,0,shares,0.0,0.0008871245221595184,0.0,0.009112875477840482,0.0,0.02704170029269573,0.0,0.6851687098670797,0.0,7.112498100227602e-06,0.0,0.27778247734212375
0,5,0,payoffs,2.0,0.05587187462591098,1.0,1.055871874625911,2.0,0.05587187462591098,3.0,1.055871874625911,0.0,0.05587187462591098,1.0,1.055871874625911
0,5,1,shares,2.477634536835538e-05,0.0008623481767911631,0.002614441625419447,0.0064984338524210344,0.0007552429101705195,0.026286457382525212,4.873261147265005e-06,0.6851638366059324,4.873261147265005e-06,2.2392369529625978e-06,0.07969450184427236,0.1980879754978514
0,5,1,payoffs,2.0,0.05922348473080951,1.0,1.0592234847308095,2.0,0.05922348473080951,3.0,1.0592234847308095,0.0,0.05922348473080951,1.0,1.0592234847308095
0,5,2,shares,5.0309871400280745e-05,0.0008368146507592377,0.004064424586154514,0.005048450891685967,0.0015335665176504098,0.025508133775045322,6.546553787634746e-06,0.685162163313292,6.546553787634746e-06,5.659443125928565e-07,0.12389348820332916,0.15388898913879462
0,5,2,payoffs,2.0,0.060533430158836894,1.0,1.060533430158837,2.0,0.060533430158836894,3.0,1.060533430158837,0.0,0.060533430158836894,1.0,1.060533430158837
0,5,3,shares,7.563695793057261e-05,0.0008114875642289459,0.004986237856762007,0.004126637621078474,0.0023055973499986225,0.02473610294269711,6.992031189529291e-06,0.6851617178358902,6.992031189529291e-06,1.2046691069831088e-07,0.1519925854179084,0.12578989192421539
0,5,3,payoffs,2.0,0.06078258878379107,1.0,1.060782588783791,2.0,0.06078258878379107,3.0,1.060782588783791,0.0,0.06078258878379107,1.0,1.060782588783791
0,5,4,shares,0.00010029899909921854,0.0007868255230602999,0.005623998840815683,0.0034888766370247976,0.003057355991801478,0.023984344300894255,7.090219110870615e-06,0.6851616196479688,7.090219110870615e-06,2.2278989356987393e-08,0.1714330821670819,0.10634939517504187
0,5,4,payoffs,2.0,0.060434412971193445,1.0,1.0604344129711936,2.0,0.060434412971193445,3.0,1.0604344129711936,0.0,0.060434412971193445,1.0,1.0604344129711936
0,6,0,shares,0.0,0.0001563727146529494,0.0,0.00984362728534705,0.0,0.004446367808992847,0.0,0.7056556653243131,0.0,1.1139728175566304e-07,0.0,0.2798978554694117
0,6,0,payoffs,2.0,0.009205703841855109,1.0,1.0092057038418552,2.0,0.009205703841855109,3.0,1.0092057038418552,0.0,0.009205703841855109,1.0,1.0092057038418552
0,6,1,shares,7.197430305256315e-07,0.00015565297162242376,0.0028521071653416566,0.006991520120005394,2.0465477297485563e-05,0.004425902331695362,7.860812297261241e-08,0.7056555867161901,7.860812297261241e-08,3.278915878305063e-08,0.08109801966358456,0.19879983580582716
0,6,1,payoffs,2.0,0.010003155881625028,1.0,1.0100031558816251,2.0,0.010003155881625028,3.0,1.0100031558816251,0.0,0.010003155881625028,1.0,1.0100031558816251
0,6,2,shares,1.4982479282301574e-06,0.00015487446672471922,0.004422794493524526,0.005420832791822525,4.260181434310828e-05,0.004403765994649739,1.0386700116544697e-07,0.7056555614573119,1.0386700116544697e-07,7.530280590216083e-09,0.1257596064981236,0.1541382489712881
0,6,2,payoffs,2.0,0.010482382105116882,1.0,1.0104823821051168,2.0,0.010482382105116882,3.0,1.0104823821051168,0.0,0.010482382105116882,1.0,1.0104823821051168
0,6,3,shares,2.3099732566329452e-06,0.00015406274139631644,0.00541724110552524,0.00442638617982181,6.568275514511813e-05,0.004380685053847729,1.0997639131516629e-07,0.7056555553479218,1.0997639131516629e-07,1.4208904404967542e-09,0.154036121446242,0.1258617340231697
0,6,3,payoffs,2.0,0.010790875964225649,1.0,1.0107908759642257,2.0,0.010790875964225649,3.0,1.0107908759642257,0.0,0.010790875964225649,1.0,1.0107908759642257
0,6,4,shares,3.1412089627366893e-06,0.0001532315056902127,0.006103404506830072,0.003740222778516979,8.931846226645266e-05,0.004357049346726394,1.1116935380335293e-07,0.7056555541549593,1.1116935380335293e-07,2.2792795231010786e-10,0.17354678138485105,0.10635107408456064
0,6,4,payoffs,2.0,0.010997237095168828,1.0,1.010997237095169,2.0,0.010997237095168828,3.0,1.010997237095169,0.0,0.010997237095168828,1.0,1.010997237095169
0,7,0,shares,0.0,4.703735718762911e-06,0.0,0.009995296264281238,0.0,0.0001319128080610466,0.0,0.709557355931704,0.0,2.8868342594273365e-10,0.0,0.280310730971551
0,7,0,payoffs,2.0,0.0002732336649264711,1.0,1.0002732336649265,2.0,0.0002732336649264711,3.0,1.0002732336649265,0.0,0.0002732336649264711,1.0,1.0002732336649265
0,7,1,shares,6.426081167510274e-10,4.7030931106461605e-06,0.0029016947495286434,0.0070936015147525944,1.802147191758959e-08,0.000131894786589129,2.0483744841323207e-10,0.7095573557268665,2.048374484132321e-10,8.384597752950155e-11,0.08137589469992319,0.19893483627162784
0,7,1,payoffs,2.0,0.0002983392452060937,1.0,1.000298339245206,2.0,0.0002983392452060937,3.0,1.000298339245206,0.0,0.0002983392452060937,1.0,1.000298339245206
0,7,2,shares,1.3441663105053919e-09,4.702391552452406e-06,0.004497684595323102,0.005497611668958136,3.7696155379761937e-08,0.00013187511190566683,2.698064069730656e-10,0.7095573556618976,2.6980640697306563e-10,1.8877018969668032e-11,0.12613425587992452,0.15417647509162652
0,7,2,payoffs,2.0,0.00031419955462315576,1.0,1.0003141995546232,2.0,0.00031419955462315576,3.0,1.0003141995546232,0.0,0.00031419955462315576,1.0,1.0003141995546232
0,7,3,shares,2.08291087412215e-09,4.70165280788879e-06,0.005507413619702148,0.004487882644579089,5.84137032296119e-08,0.00013185439435781698,2.85213377732983e-10,0.7095573556464906,2.8521337773298306e-10,3.470048209750586e-12,0.15445136358971134,0.1258593673818397
0,7,3,payoffs,2.0,0.0003251175224689624,1.0,1.000325117522469,2.0,0.0003251175224689624,3.0,1.000325117522469,0.0,0.0003251175224689624,1.0,1.000325117522469
0,7,4,shares,2.84720571090555e-09,4.7008885130520065e-06,0.006203788021120697,0.00379150824316054,7.98477896950763e-08,0.00013183296027135152,2.881444224768199e-10,0.7095573556435595,2.8814442247681997e-10,5.390034659136573e-13,0.17398067140913762,0.10633005956241343
0,7,4,payoffs,2.0,0.00033308434991779215,1.0,1.0003330843499179,2.0,0.00033308434991779215,3.0,1.0003330843499179,0.0,0.00033308434991779215,1.0,1.0003330843499179
0,8,0,shares,0.0,4.219996487557164e-09,0.0,0.009999995780003514,0.0,1.1829642066254367e-07,0.0,0.7096764949654364,0.0,2.2223156354644697e-14,0.0,0.28032338673812013
0,8,0,payoffs,2.0,2.450328787465145e-07,1.0,1.0000002450328789,2.0,2.450328787465145e-07,3.0,1.0000002450328789,0.0,2.450328787465145e-07,1.0,1.0000002450328789
0,8,1,shares,5.170188500415142e-16,4.219995970538314e-09,0.0029032326000175837,0.0070967631799859305,1.449325362125602e-14,1.1829640616929005e-07,1.5771251708833122e-14,0.7096764949654206,1.5771251708833122e-14,6.451904645811574e-15,0.08138443383674719,0.19893895290137292
0,8,1,payoffs,2.0,2.675871102773104e-07,1.0,1.0000002675871102,2.0,2.675871102773104e-07,3.0,1.0000002675871102,0.0,2.675871102773104e-07,1.0,1.0000002675871102
0,8,2,shares,1.0816270838774856e-15,4.21999540593008e-09,0.004500007733490573,0.005499988046512941,3.0320549529281617e-14,1.1829639034199415e-07,2.077147383871745e-14,0.7096764949654156,2.077147383871745e-14,1.4516825159272471e-15,0.1261457940534617,0.15417759268465842
0,8,2,payoffs,2.0,2.818560891554876e-07,1.0,1.0000002818560891,2.0,2.818560891554876e-07,3.0,1.0000002818560891,0.0,2.818560891554876e-07,1.0,1.0000002818560891
0,8,3,shares,1.6763427775155562e-15,4.219994811214387e-09,0.005510211384801866,0.0044897843952016485,4.699182830324829e-14,1.1829637367071537e-07,2.1956520119995592e-14,0.7096764949654144,2.1956520119995592e-14,2.666362346491062e-16,0.15446417688688896,0.12585920985123117
0,8,3,payoffs,2.0,2.9169674599922856e-07,1.0,1.000000291696746,2.0,2.9169674599922856e-07,3.0,1.000000291696746,0.0,2.9169674599922856e-07,1.0,1.000000291696746
0,8,4,shares,2.2918221534585017e-15,4.219994195735011e-09,0.0062069030953008225,0.0037930926847026913,6.424516189732756e-14,1.1829635641738177e-07,2.2181781666542075e-14,0.7096764949654142,2.2181781666542075e-14,4.1374688102623087e-17,0.17399408310844666,0.10632930362967345
0,8,4,payoffs,2.0,2.9889362781048075e-07,1.0,1.0000002988936278,2.0,2.9889362781048075e-07,3.0,1.0000002988936278,0.0,2.9889362781048075e-07,1.0,1.0000002988936278
0,9,0,shares,0.0,3.3957200011847416e-15,0.0,0.009999999999996607,0.0,9.518997697055622e-14,0.0,0.7096766019010216,0.0,1.5342317278845159e-21,0.0,0.2803233980988827
0,9,0,payoffs,2.0,1.9717139701194548e-13,1.0,1.0000000000001972,2.0,1.9717139701194548e-13,3.0,1.0000000000001972,0.0,1.9717139701194548e-13,1.0,1.0000000000001972
0,9,1,shares,3.34769423037679e-28,3.3957200011844067e-15,0.0029032339809878095,0.007096766019008797,9.384370224366262e-27,9.518997697054683e-14,1.0888083591738167e-21,0.7096766019010216,1.0888083591738167e-21,4.454233687106992e-22,0.08138444150269258,0.1989389565961901
0,9,1,payoffs,2.0,2.1532023710443727e-13,1.0,1.0000000000002154,2.0,2.1532023710443727e-13,3.0,1.0000000000002154,0.0,2.1532023710443727e-13,1.0,1.0000000000002154
0,9,2,shares,7.003530392835765e-28,3.395720001184041e-15,0.004500009819655042,0.005499990180341565,1.963253438369572e-26,9.518997697053658e-14,1.4340112512293352e-21,0.7096766019010216,1.4340112512293352e-21,1.0022047665518067e-22,0.12614580441244694,0.15417759368643574
0,9,2,payoffs,2.0,2.2680214505405688e-13,1.0,1.000000000000227,2.0,2.2680214505405688e-13,3.0,1.000000000000227,0.0,2.2680214505405688e-13,1.0,1.000000000000227
0,9,3,shares,1.0854313290278653e-27,3.395720001183656e-15,0.005510213897193599,0.004489786102803008,3.042717985500406e-26,9.518997697052579e-14,1.5158238524428735e-21,0.7096766019010216,1.5158238524428735e-21,1.840787544164239e-23,0.1544641883913521,0.1258592097075306
0,9,3,payoffs,2.0,2.3472069722327967e-13,1.0,1.0000000000002347,2.0,2.3472069722327967e-13,3.0,1.0000000000002347,0.0,2.3472069722327967e-13,1.0,1.0000000000002347
0,9,4,shares,1.4839542120798851e-27,3.3957200011832577e-15,0.006206905892649422,0.003793094107347185,4.159870873451299e-26,9.518997697051462e-14,1.5313753291207655e-21,0.7096766019010216,1.5313753291207655e-21,2.8563987637502953e-24,0.1739940951508055,0.10632930294807719
