externalizing,externalizing,externalizing,externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,externalizing,externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing
alpha,alpha,delta,delta,alpha,alpha,beta,beta,gamma,gamma,delta,delta,alpha,delta,alpha,beta,gamma,delta
matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,unmatchded,unmatchded,unmatchded,unmatchded,unmatchded,unmatchded
0.0,0.005,0.0,0.005,0.0,0.2475,0.0,0.2475,0.0,0.2475,0.0,0.2475,,,,,,
2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,,,,,,
0.0012688442211055276,0.0037311557788944722,0.0012688442211055276,0.0037311557788944722,0.06280778894472361,0.1846922110552764,0.061564070351758794,0.1859359296482412,0.061564070351758794,0.1859359296482412,0.06280778894472361,0.1846922110552764,,,,,,
2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,,,,,,
0.0022125338713601395,0.00278746612863986,0.0022125338713601395,0.00278746612863986,0.1095204266323269,0.13797957336767308,0.10797045012206274,0.13952954987793725,0.10797045012206274,0.13952954987793725,0.1095204266323269,0.13797957336767308,,,,,,
2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,,,,,,
0.0029159747751507526,0.002084025224849247,0.0029159747751507526,0.002084025224849247,0.14434075136996224,0.10315924863003773,0.14287237896338206,0.10462762103661795,0.14287237896338206,0.10462762103661795,0.14434075136996224,0.10315924863003773,,,,,,
2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,,,,,,
0.0034411167839227676,0.0015588832160772321,0.0034411167839227676,0.0015588832160772321,0.17033528080417698,0.07716471919582299,0.1690826880075893,0.0784173119924107,0.1690826880075893,0.0784173119924107,0.17033528080417698,0.07716471919582299,,,,,,
2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,,,,,,
0.0038335437044242932,0.0011664562955757067,0.0038335437044242932,0.0011664562955757067,0.18976041336900248,0.05773958663099748,0.1887463388742166,0.05875366112578341,0.1887463388742166,0.05875366112578341,0.18976041336900248,0.05773958663099748,,,,,,
2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,,,,,,
0.004126990035500922,0.0008730099644990776,0.004126990035500922,0.0008730099644990776,0.20428600675729564,0.04321399324270434,0.20348880814061807,0.044011191859381946,0.20348880814061807,0.044011191859381946,0.20428600675729564,0.04321399324270434,,,,,,
2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,,,,,,
0.004346518047496603,0.0006534819525033973,0.004346518047496603,0.0006534819525033973,0.2151526433510818,0.03234735664891816,0.21453687832395488,0.03296312167604512,0.21453687832395488,0.03296312167604512,0.2151526433510818,0.03234735664891816,,,,,,
2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,,,,,,
0.0045107956682817,0.0004892043317183006,0.0045107956682817,0.0004892043317183006,0.2232843855799441,0.02421561442005588,0.22281394583380323,0.024686054166196767,0.22281394583380323,0.024686054166196767,0.2232843855799441,0.02421561442005588,,,,,,
2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,,,,,,
0.004633752142524093,0.00036624785747590744,0.004633752142524093,0.00036624785747590744,0.22937073105494254,0.018129268945057418,0.2290138187943596,0.018486181205640394,0.2290138187943596,0.018486181205640394,0.22937073105494254,0.018129268945057418,,,,,,
2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,,,,,,
0.0047257929833894865,0.000274207016610514,0.0047257929833894865,0.000274207016610514,0.23392675267777951,0.013573247322220445,0.23365719023084616,0.013842809769153853,0.23365719023084616,0.013842809769153853,0.23392675267777951,0.013573247322220445,,,,,,
2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,,,,,,
0.004794697404139412,0.00020530259586058896,0.004794697404139412,0.00020530259586058896,0.2373375215049008,0.010162478495099155,0.23713452963827533,0.010365470361724676,0.23713452963827533,0.010365470361724676,0.2373375215049008,0.010162478495099155,,,,,,
2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,,,,,,
0.004846284181919065,0.00015371581808093564,0.004846284181919065,0.00015371581808093564,0.23989106700499366,0.007608932995006316,0.2397385008028038,0.007761499197196205,0.2397385008028038,0.007761499197196205,0.23989106700499366,0.007608932995006316,,,,,,
2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,,,,,,
0.004884907199450234,0.00011509280054976701,0.004884907199450234,0.00011509280054976701,0.2418029063727865,0.005697093627213468,0.24168838552022842,0.005811614479771562,0.24168838552022842,0.005811614479771562,0.2418029063727865,0.005697093627213468,,,,,,
2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,,,,,,
0.004913824979742408,8.61750202575931e-05,0.004913824979742408,8.61750202575931e-05,0.24323433649724913,0.0042656635027508594,0.24314844602816083,0.004351553971839169,0.24314844602816083,0.004351553971839169,0.24323433649724913,0.0042656635027508594,,,,,,
2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,,,,,,
0.0,0.005798025599929218,0.0,0.004201974400070784,0.0,0.2870022671964962,0.0,0.4515758413169804,0.0,0.04342415868301957,0.0,0.20799773280350364,,,,,,
2.0,0.67244890295889,1.0,1.67244890295889,2.0,0.67244890295889,3.0,1.67244890295889,0.0,0.67244890295889,1.0,1.67244890295889,,,,,,
0.0017048272336929668,0.0040931983662362515,0.0008954202704255684,0.0033065541296452153,0.08438894806780183,0.20261331912869435,0.01969204646590135,0.4318837948510791,0.01969204646590135,0.02373211221711822,0.044323303386065604,0.16367442941743804,,,,,,
2.0,0.5557402211505791,1.0,1.5557402211505793,2.0,0.5557402211505791,3.0,1.5557402211505793,0.0,0.5557402211505791,1.0,1.5557402211505793,,,,,,
0.0027291541129337705,0.003068871486995448,0.0015638630835658938,0.0026381113165048903,0.1350931285902216,0.15190913860627459,0.03210070714634726,0.41947513417063315,0.03210070714634726,0.011323451536672307,0.07741122263651168,0.13058651016699196,,,,,,
2.0,0.4625902088403219,1.0,1.462590208840322,2.0,0.4625902088403219,3.0,1.462590208840322,0.0,0.4625902088403219,1.0,1.462590208840322,,,,,,
0.0033930738378952366,0.0024049517620339817,0.0020544821266808887,0.0021474922733898958,0.16795715497581415,0.11904511222068202,0.038731291989497076,0.4128445493274833,0.038731291989497076,0.004692866693522491,0.1016968652707039,0.10630086753279974,,,,,,
2.0,0.38966928588097416,1.0,1.389669285880974,2.0,0.38966928588097416,3.0,1.389669285880974,0.0,0.38966928588097416,1.0,1.389669285880974,,,,,,
0.003845711091441554,0.0019523145084876644,0.0024153936720926377,0.001786580727978147,0.19036269902635686,0.09663956817013933,0.04173370857200261,0.40984213274497777,0.04173370857200261,0.0016904501110169517,0.11956198676858545,0.08843574603491819,,,,,,
2.0,0.3340813479018185,1.0,1.3340813479018183,2.0,0.3340813479018185,3.0,1.3340813479018183,0.0,0.3340813479018185,1.0,1.3340813479018183,,,,,,
0.0041672866977917845,0.0016307389021374338,0.0026846890029755036,0.0015172853970952809,0.20628069154069326,0.08072157565580292,0.04289118223197321,0.4086846590850072,0.04289118223197321,0.0005329764510463519,0.13289210564728732,0.07510562715621633,,,,,,
2.0,0.29175055322874094,1.0,1.291750553228741,2.0,0.29175055322874094,3.0,1.291750553228741,0.0,0.29175055322874094,1.0,1.291750553228741,,,,,,
0.00440427436484876,0.0013937512350804583,0.0028898484115813827,0.0013121259884894016,0.21801158106001353,0.06899068613648264,0.043275563186333695,0.4083002781306467,0.043275563186333695,0.00014859549668586546,0.14304749637327832,0.06495023643022531,,,,,,
2.0,0.2587913876697091,1.0,1.2587913876697092,2.0,0.2587913876697091,3.0,1.2587913876697092,0.0,0.2587913876697091,1.0,1.2587913876697092,,,,,,
0.004584674079001285,0.0012133515209279337,0.0030497366027547866,0.0011522377973159977,0.2269413669105635,0.06006090028593268,0.04338713622474694,0.40818870509223343,0.04338713622474694,3.702245827261953e-05,0.1509619618363618,0.057035770967141824,,,,,,
2.0,0.2323769941527592,1.0,1.2323769941527591,2.0,0.2323769941527592,3.0,1.2323769941527591,0.0,0.2323769941527592,1.0,1.2323769941527591,,,,,,
0.004725874760204327,0.0010721508397248916,0.003177071589994763,0.0010249028100760209,0.23393080063011407,0.0530714665663821,0.04341583731349983,0.4081600040034805,0.04341583731349983,8.32136951973226e-06,0.15726504370474062,0.05073268909876298,,,,,,
2.0,0.21067943195077052,1.0,1.2106794319507705,2.0,0.21067943195077052,3.0,1.2106794319507705,0.0,0.21067943195077052,1.0,1.2106794319507705,,,,,,
0.004839023054252787,0.0009590025456764322,0.0032804670805507675,0.0009215073195200166,0.23953164118551282,0.04747062601098336,0.043422457498188356,0.408153383818792,0.043422457498188356,1.7011848312062098e-06,0.16238312048726283,0.045614612316240775,,,,,,
2.0,0.1925236505665408,1.0,1.1925236505665406,2.0,0.1925236505665408,3.0,1.1925236505665406,0.0,0.1925236505665408,1.0,1.1925236505665406,,,,,,
0.004931504534571261,0.000866521065357958,0.0033658582243790976,0.0008361161756916864,0.2441094744612773,0.04289279273521889,0.043423840105272,0.40815200121170836,0.043423840105272,3.185777475624255e-07,0.16660998210676517,0.04138775069673843,,,,,,
2.0,0.17711592199860016,1.0,1.1771159219986,2.0,0.17711592199860016,3.0,1.1771159219986,0.0,0.17711592199860016,1.0,1.1771159219986,,,,,,
0.0050083713793751174,0.0007896542205541018,0.003437425429238546,0.0007645489708322379,0.24791438327906817,0.03908788391742801,0.04342410369397563,0.4081517376230047,0.04342410369397563,5.498904392534015e-08,0.17015255874730786,0.03784517405619574,,,,,,
2.0,0.16388981861408491,1.0,1.163889818614085,2.0,0.16388981861408491,3.0,1.163889818614085,0.0,0.16388981861408491,1.0,1.163889818614085,,,,,,
0.005073181255144423,0.0007248443447847955,0.0034981798497986548,0.0007037945502721293,0.25112247212964883,0.03587979506684735,0.04342414988671389,0.4081516914302665,0.04342414988671389,8.796305664034916e-09,0.17315990256503325,0.03483783023847036,,,,,,
2.0,0.1524247484646809,1.0,1.152424748464681,2.0,0.1524247484646809,3.0,1.152424748464681,0.0,0.1524247484646809,1.0,1.152424748464681,,,,,,
0.005128504416969412,0.0006695211829598072,0.0035503364509528474,0.0006516379491179367,0.25386096863998575,0.033141298556510435,0.04342415737268278,0.40815168394429757,0.04342415737268278,1.3103367748870477e-09,0.17574165432216576,0.03225607848133783,,,,,,
2.0,0.14240025811000798,1.0,1.142400258110008,2.0,0.14240025811000798,3.0,1.142400258110008,0.0,0.14240025811000798,1.0,1.142400258110008,,,,,,
0.005176239914517629,0.0006217856854115902,0.0035955559290419157,0.0006064184710288683,0.2562238757686225,0.030778391427873697,0.04342415850046684,0.4081516828165135,0.04342415850046684,1.8255271108098633e-10,0.17798001848757464,0.030017714315928947,,,,,,
